date,power,latitude,longitude,place
2012-06-24 1:20,2.1,37.53 N,124.56 E,인천 백령도 남남서쪽 48km 해역
2012-06-23 16:42,2.6,36.7 N,128.31 E,경북 문경시 북동쪽 17km 지역
2012-06-19 20:55,3.1,33.48 N,125.93 E,제주 제주시 고산 북서쪽 30km 해역
2012-06-14 6:15,2.1,39.68 N,126.81 E,함경남도 요덕 북서쪽 5km지역
2012-06-12 17:52,2.2,35.87 N,128.67 E,대구 수성구 동북동쪽 4km 지역
2012-06-12 13:34,2.4,37.33 N,125.27 E,인천 옹진군 연평도 남서쪽 53km 해역
2012-06-12 9:01,2.1,38.77 N,125.72 E,황해북도 송림 동북동쪽 8km 지역
2012-06-12 3:42,2.1,36.32 N,127.51 E,충북 옥천군 서북서쪽 6km 지역
2012-06-05 8:18,2.1,38.43 N,126.16 E,황해북도 평산 서북서쪽 23km 지역
2012-06-01 12:05,2.6,37.12 N,125.96 E,인천 옹진군 덕적도 서남서쪽 20km 해역
2012-06-01 8:09,2.3,35.92 N,127.61 E,전북 무주군 남남서쪽 10km 지역
2012-05-30 2:48,3.4,36.57 N,129.57 E,경북 영덕군 북동쪽 25km 해역
2012-05-16 17:50,2.7,36.23 N,128.49 E,경북 군위군 서쪽 8km 지역
2012-05-15 11:05,2.9,35.92 N,129.62 E,경북 포항시 남구 동남동쪽 25km 해역
2012-05-11 12:46,3.9,36.02 N,127.71 E,전북 무주군 동북동쪽 5km 지역
2012-05-02 5:04,2,35.76 N,126.81 E,전북 김제시 남서쪽 8km 지역
2012-05-02 1:33,3.4,33.69 N,126.04 E,제주 제주시 고산 북북서쪽 46km 해역
2012-04-20 21:11,3.1,33.43 N,127.26 E,제주 서귀포시 성산 동쪽 36km 해역
2012-04-17 13:31,2.6,35.72 N,126.51 E,전북 부안군 서쪽 20km 해역
2012-03-30 14:51,2.2,36.49 N,127.91 E,경북 상주시 서북서쪽 24km 지역
2012-03-29 0:26,2.2,35.34 N,125.95 E,전북 부안군 위도 남서쪽 43km 해역
2012-03-18 9:20,2.8,36.53 N,130.58 E,경북 영덕군 동쪽 109km 해역
2012-02-27 0:26,2.5,35.15 N,129.85 E,울산 동구 남동쪽 55km 해역
2012-02-24 9:05,3.2,35.2 N,129.93 E,울산 동구 남동쪽 57km 해역
2012-02-24 0:54,2.4,35.13 N,129.85 E,울산 동구 남동쪽 57km 해역
2012-02-21 22:30,2.5,35.13 N,129.8 E,부산 기장군 동남동쪽 54km 해역
2012-02-19 20:21,2.7,35.13 N,129.89 E,울산 동구 남동쪽 59km 해역
2012-01-24 2:41,2.2,37.12 N,125.96 E,인천 옹진군 덕적도 서남서쪽 20km 해역
2012-01-19 15:43,2.7,38.51 N,126.23 E,북한 황해북도 평산 북서쪽 24km 지역
2011-12-27 21:57,3.3,36.86 N,129.94 E,경북 울진군 동남동쪽 50km 해역
2011-12-25 0:01,2.3,37.12 N,128.99 E,강원 태백시 남쪽 5km 지역
2011-12-14 15:39,2,37.97 N,125.82 E,황해남도 해주 남동쪽 12km 지역
2011-11-30 0:37,2.5,35.98 N,126.53 E,전북 군산시 서쪽 17km 해역
2011-11-26 4:03,2.2,34.23 N,127.67 E,전남 여수시 거문도 북동쪽 40km 해역
2011-11-02 7:20,3,35.54 N,130.65 E,울산 동구 동쪽 111km 해역
2011-10-07 19:04,2.7,33.34 N,127.19 E,제주 서귀포시 성산 동쪽 29km 해역
2011-09-28 13:20,2.6,38.48 N,126.26 E,황해북도 평산 북서쪽 20km 지역
2011-09-26 22:12,3.3,34.58 N,128.12 E,경남 남해군 남동쪽 36km 해역
2011-09-25 12:59,2.6,35.58 N,125.9 E,전북 부안군 위도 서쪽 36km 해역
2011-09-21 23:59,2.6,35.91 N,125.21 E,전북 군산시 어청도 서남서쪽 72km 해역
2011-09-08 1:56,3.2,38.82 N,126.0 E,황해북도 사리원 북동쪽 19km 지역
2011-08-31 19:39,2.6,35.7 N,129.75 E,울산 동구 북동쪽 37km 해역
2011-08-20 13:22,2.2,38.46 N,127.83 E,강원(북한) 회양 남동쪽 34km 지역
2011-08-20 6:57,3,37.5 N,124.46 E,인천 백령도 남남서쪽 54km 해역
2011-08-15 6:10,3.2,38.47 N,125.63 E,황해북도 사리원 서남서쪽 12km 지역
2011-08-09 12:11,2.5,35.66 N,129.76 E,울산 동구 동북동쪽 35km 해역
2011-07-28 11:28,2.2,35.9 N,129.7 E,경북 포항시 남구 동남동쪽 35km 해역
2011-07-27 14:38,2.8,36.55 N,129.56 E,경북 영덕군 북동쪽 23km 해역
2011-07-19 14:54,2.4,37.89 N,124.67 E,인천 백령도 남쪽 7km 해역
2011-07-13 4:05,2.1,35.91 N,128.39 E,경북 성주군 동쪽 9km 지역
2011-07-05 2:13,2.3,38.58 N,126.36 E,북한 황해북도 신계 서북서쪽 18km 지역
2011-06-27 14:11,2.9,35.52 N,126.14 E,전북 부안군 위도 서남서쪽 17km 해역
2011-06-17 16:57,2.4,37.9 N,124.81 E,인천 백령도 동남동쪽 13km 해역
2011-06-17 16:38,4,37.89 N,124.81 E,인천 백령도 동남동쪽 13km 해역
2011-06-16 8:13,2.8,33.62 N,127.27 E,제주 서귀포시 성산 북동쪽 44km 해역
2011-06-15 14:21,3.7,33.71 N,127.81 E,전남 여수시 거문도 남동쪽 58km 해역
2011-06-09 15:13,2.6,35.91 N,129.7 E,경북 포항시 남구 동남동쪽 32km 해역
2011-06-08 14:21,3,35.08 N,125.3 E,전남 신안군 흑산면 북북서쪽 50km 해역
2011-06-05 22:53,2.5,36.05 N,127.53 E,충남 금산군 남남동쪽 7km 지역
2011-06-02 10:50,2.9,36.7 N,127.94 E,경북 문경시 서북서쪽 26km 지역
2011-06-02 8:09,2.9,33.59 N,127.26 E,제주 서귀포시 성산 동북동쪽 42km 해역
2011-05-29 10:22,3.2,35.58 N,128.75 E,경북 청도군 남쪽 8km 지역
2011-05-28 15:41,2.5,35.93 N,129.69 E,경북 포항시 남구 동남동쪽 31km 해역
2011-05-25 18:29,2.3,33.61 N,127.28 E,제주 서귀포시 성산 동북동쪽 31km 해역
2011-05-11 21:09,2.2,39.33 N,126.22 E,평안남도 성천 북쪽 10km 지역
2011-04-24 16:37,3.1,37.85 N,125.01 E,인천 백령도 동남동쪽 31km 해역
2011-04-11 23:48,2.8,39.13 N,125.87 E,평안남도 평성 남쪽 12km 지역
2011-04-11 6:11,3.1,37.72 N,129.07 E,강원 강릉시 동남동쪽 16km 해역
2011-04-03 1:47,2.7,35.77 N,128.53 E,대구 달성군 남남서쪽 7km 지역
2011-03-28 13:50,3.2,35.97 N,129.95 E,경북 포항시 북구 동쪽 53km 해역
2011-03-24 4:35,2.8,36.34 N,127.83 E,충북 옥천군 동쪽 23km 지역
2011-03-14 14:47,2.9,34.62 N,126.1 E,전남 신안군 남서쪽 31km 해역
2011-03-13 3:12,2.3,37.5 N,125.33 E,인천 옹진군 연평도 서남서쪽 약38km 해역
2011-03-12 8:15,2.6,37.0 N,125.27 E,충남 태안군 서격렬비도 북북서쪽 50km 해역
2011-03-11 9:57,2.5,38.51 N,127.57 E,강원(북한) 회양 남쪽 22km 지역
2011-03-06 11:04,2.9,38.66 N,125.67 E,황해북도 송림 남남동쪽 9km 지역
2011-02-27 18:50,3.5,33.65 N,125.9 E,제주 제주시 고산 북북서쪽 47km 해역
2011-02-11 19:21,2.2,37.19 N,129.06 E,강원 삼척시 남남서쪽 30km 지역
2011-01-26 22:15,2.7,33.4 N,127.33 E,제주 서귀포시 성산 동쪽 42km 해역
2011-01-21 10:56,2.2,33.7 N,127.38 E,전남 여수시 거문도 남쪽 37km 해역
2011-01-04 1:22,2,36.41 N,127.15 E,충남 공주시 남동쪽 4km 지역
2010-12-20 6:56,2.2,36.89 N,125.37 E,충남 태안군 서격렬비열도 북북서쪽 35km 해역
2010-12-19 9:11,2.6,37.31 N,129.38 E,강원 삼척시 남동쪽 24km 해역
2010-11-28 10:15,2.3,35.18 N,127.02 E,전남 담양군 남쪽 16km 지역
2010-11-27 7:51,2.8,35.95 N,129.79 E,경북 포항시 남구 동쪽 39km 해역
2010-11-20 0:07,2.7,36.83 N,126.76 E,충남 당진군 동남동쪽 13km 지역
2010-11-07 20:11,2.9,40.28 N,128.2 E,함경남도 북청 서북서쪽 11km 지역
2010-10-25 12:36,2.5,34.29 N,127.39 E,전남 고흥군 남남동쪽 37km 지역
2010-10-23 23:43,2.4,39.77 N,126.7 E,함경남도 요덕 북서쪽 19km 지역
2010-10-22 11:59,2.5,35.85 N,128.18 E,경북 성주군 남서쪽 12km 지역
2010-10-14 18:06,2.3,37.14 N,129.73 E,경북 울진군 동북동쪽 33km 해역
2010-10-07 2:33,2.8,35.87 N,129.79 E,경북 포항시 남구 동남동쪽 41km 해역
2010-10-04 23:24,2.8,37.67 N,129.7 E,강원 삼척시 동북동쪽 53km 해역
2010-09-30 2:07,2.6,33.36 N,127.24 E,제주 제주시 동남동쪽 67km 해역
2010-09-06 19:32,2.8,36.56 N,129.01 E,경북 청송군 북북서쪽 15km 지역
2010-08-28 7:35,3.2,32.9 N,126.27 E,제주 서귀포시 남남서쪽 45km 해역
2010-08-24 3:59,2.5,38.71 N,125.9 E,황해북도 송림 동쪽 23km 지역
2010-07-27 18:32,2.1,36.34 N,127.26 E,충남 공주시 남동쪽 17km 지역
2010-07-06 3:44,2.3,36.47 N,127.13 E,충남 공주시 북북동쪽 3km 지역
2010-06-28 12:19,2.1,38.75 N,126.03 E,평양 남동쪽 40km 지역
2010-06-26 4:59,2.7,32.35 N,125.88 E,제주 서귀포시 남남서쪽 116km 해역
2010-06-22 22:21,2.6,38.46 N,125.64 E,황해북도 사리원 서남서쪽 12km 지역
2010-06-11 13:02,2.1,38.78 N,126.07 E,황해북도 송림 동쪽 38km 지역
2010-05-26 15:22,2.4,37.6 N,129.68 E,강원 삼척시 동북동쪽 48km 해역
2010-05-15 14:44,2.2,36.0 N,127.84 E,전북 무주군 동쪽 16km 지역
2010-04-28 14:42,2.1,36.55 N,128.71 E,경북 안동시 남서쪽 3km 지역
2010-04-27 19:29,2.3,36.8 N,128.75 E,경북 안동시 북쪽 26km 지역
2010-04-16 19:56,2.3,38.72 N,125.97 E,황해북도 송림 동쪽 29km 지역
2010-04-13 2:14,2.5,34.02 N,125.44 E,전남 신안군 흑산면 남쪽 70km 해역
2010-04-12 1:18,2.2,34.12 N,125.66 E,전남 신안군 흑산면 남남동쪽 61km 해역
2010-04-04 12:49,2.3,38.51 N,126.06 E,황해북도 사리원 동쪽 26km 지역
2010-03-09 12:50,3.2,36.42 N,125.75 E,충남 태안군 서격렬비열도 남동쪽 28km 해역
2010-03-01 21:58,2.2,38.41 N,125.62 E,북한 황해남도 안악 남동쪽 15km 지역
2010-02-22 23:29,3,33.29 N,127.17 E,제주 서귀포시 동쪽 61km 해역
2010-02-21 21:17,2.3,36.75 N,127.1 E,충남 천안시 남서쪽 8km 지역
2010-02-16 18:53,3.2,35.65 N,130.1 E,울산 동구 동북동쪽 64km 해역
2010-02-09 18:08,3,37.45 N,126.8 E,경기 시흥시 북쪽 8km 지역
2010-02-03 20:57,2.6,33.33 N,127.19 E,제주 서귀포시 동쪽 64km 해역
2010-02-01 6:42,2.4,33.34 N,127.18 E,제주 제주시 동남동쪽 62km 해역
2010-02-01 5:00,2.3,33.3 N,127.14 E,제주 서귀포시 동쪽 59km 해역
2010-01-23 17:54,2.1,36.59 N,128.17 E,경북 상주시 북쪽 20km 지역
2010-01-10 11:58,2.1,38.8 N,126.07 E,평양(북한) 남동쪽 37km 지역
2010-01-05 20:12,2.6,36.97 N,126.52 E,충남 당진군 북서쪽 13km 지역
2009-12-26 10:55,2.2,37.87 N,124.91 E,인천 백령도 동남동쪽 22km 해역
2009-12-15 9:02,2.4,36.76 N,127.1 E,충남 아산시 동남동쪽 9km 지역
2009-12-15 7:19,2.3,38.8 N,125.94 E,황해북도 송림 동북동쪽 27km 지역
2009-12-11 13:13,2.8,33.69 N,125.64 E,제주 제주시 서북서쪽 85km 해역
2009-12-04 5:14,2.8,36.72 N,128.55 E,경북 예천군 북동쪽 11km 지역
2009-11-27 10:34,2.4,37.69 N,129.57 E,강원 동해시 동북동쪽 44km 해역
2009-11-17 5:38,2.3,36.07 N,126.93 E,전북 익산시 북쪽 14km 지역
2009-11-14 21:27,2.5,34.81 N,127.93 E,경남 남해군 남동쪽 4km 지역
2009-11-14 5:28,2.4,35.66 N,126.91 E,전북 정읍시 북동쪽 14km 지역
2009-11-05 4:31,2.7,38.42 N,124.87 E,황해남도 장연 서북서쪽 50km 해역
2009-10-16 13:12,2.3,33.4 N,127.29 E,제주시 동쪽 71km 해역
2009-10-04 12:00,2.5,39.38 N,126.05 E,평안남도 평성 북북동쪽 17km 지역
2009-10-01 21:30,2.9,38.12 N,126.02 E,황해남도 해주 동북동쪽 28km 지역
2009-08-25 23:08,2.4,37.69 N,124.55 E,인천 백령도 남남서쪽 31km 해역
2009-08-21 23:02,3.8,38.82 N,125.79 E,황해북도 송림 북동쪽 16km 지역
2009-08-17 15:24,2.4,36.54 N,129.6 E,경북 영덕군 북동쪽 24km 해역
2009-08-15 3:18,2.6,36.52 N,129.61 E,경북 영덕군 북동쪽 23km 해역
2009-07-30 9:27,2.6,35.85 N,126.29 E,전북 군산시 서남서쪽 41km 해역
2009-07-17 13:14,2.5,38.45 N,126.15 E,황해북도 평산 서북서쪽 25km 지역
2009-07-15 4:04,3,35.14 N,125.1 E,전남 신안군 흑산면 북북서쪽 61km 해역
2009-07-01 8:55,2.6,37.84 N,124.94 E,인천 백령도 남동쪽 30km 해역
2009-06-29 11:52,2.7,37.14 N,126.0 E,충남 태안군 북북서쪽 51km 해역
2009-06-28 22:07,3,35.78 N,128.29 E,경북 고령군 북북동쪽 7km 지역
2009-06-25 13:06,2.2,39.31 N,126.06 E,평안남도 성천 서북서쪽 15km 지역
2009-06-20 21:14,2.2,38.03 N,126.62 E,개성(북한) 북동쪽 8km 지역
2009-06-20 4:05,2.9,37.09 N,124.74 E,충남 태안군 서격렬비열도 북서쪽 85km 해역
2009-06-06 1:56,2.4,35.09 N,125.06 E,전남 신안군 흑산면 북북서쪽 61km 해역
2009-06-06 0:49,2.8,38.63 N,127.44 E,강원 회양(북한) 서남서쪽 16km 지역
2009-06-03 20:09,2.9,38.57 N,126.5 E,황해북도 신계 북북서쪽 9km 지역
2009-06-03 15:56,2.4,33.19 N,126.33 E,제주 서귀포시 서남서쪽 18km 해역
2009-05-31 15:24,2.3,38.6 N,126.43 E,황해북도 신계 북서쪽 14km 지역
2009-05-31 0:10,2.5,33.52 N,125.85 E,제주 제주시 서쪽 63km 해역
2009-05-26 18:59,2.2,36.57 N,129.22 E,경북 영양군 남동쪽 14km 지역
2009-05-25 18:12,2.4,36.95 N,129.33 E,경북 울진군 남서쪽 8km 지역
2009-05-15 22:41,2.4,36.59 N,126.41 E,충남 홍성군 서쪽 20km 해역
2009-05-14 20:50,2.2,36.25 N,127.13 E,충남 논산시 북쪽 11km 지역
2009-05-02 12:28,2.9,36.57 N,128.71 E,경북 안동시 서북서쪽 2km 지역
2009-05-02 7:58,4,36.56 N,128.71 E,경북 안동시 서남서쪽 2km 지역
2009-04-29 12:15,2.9,33.43 N,127.36 E,제주 제주시 동쪽 86km 해역
2009-04-21 17:44,2,35.45 N,128.22 E,경남 의령군 북북서쪽 15km 지역
2009-04-18 20:19,2.5,33.39 N,127.07 E,제주 제주시 동남동쪽 51km 해역
2009-04-14 4:51,2.5,38.45 N,125.65 E,황해북도 사리원 서남서쪽 11km 지역
2009-04-02 20:28,3,37.6 N,125.95 E,인천 강화군 서남서쪽 50km 해역
2009-03-30 5:58,2.3,36.21 N,128.08 E,경북 김천시 북쪽 8km 지역
2009-03-26 22:21,2.9,38.11 N,127.13 E,경기 연천군 동쪽 3km 지역
2009-03-26 2:32,2.3,33.38 N,127.14 E,제주 제주시 동남동쪽 58km 해역
2009-03-02 14:20,3.4,37.11 N,124.6 E,인천 백령도 남쪽 94km 해역
2009-02-26 20:53,2.2,36.94 N,129.36 E,경북 울진군 남서쪽 7km 지역
2009-02-26 15:03,2.7,35.03 N,129.59 E,부산 기장군 동남동쪽 30km 해역
2009-02-23 21:47,2.8,37.13 N,126.01 E,충남 태안군 북북서쪽 50km 해역
2009-02-19 0:01,2.3,39.72 N,126.89 E,함경남도 요덕 북북동쪽 9km 지역
2009-02-15 22:41,3,35.76 N,125.71 E,전남 영광군 북서쪽 91km 해역
2009-02-15 12:57,2.3,35.85 N,127.72 E,전북 무주군 남남동쪽 18km 지역
2009-02-12 17:46,3.2,35.26 N,127.44 E,전남 구례군 동쪽 7km 지역
2009-01-13 19:07,3,36.47 N,129.64 E,경북 영덕군 동쪽 22km 해역
2009-01-09 20:53,3.2,38.73 N,125.82 E,황해북도 사리원 북북동쪽 22km 지역
2009-01-05 2:59,2.1,33.47 N,127.64 E,제주 제주시 동쪽 75km 해역
2009-01-02 8:15,2.2,33.94 N,127.67 E,전남 고흥군 남남동쪽 82m 해역
2009-01-01 15:58,2.5,36.5 N,129.08 E,경북 청송군 북북동쪽 7km 지역
2009-01-01 6:45,2.1,36.31 N,128.35 E,경북 구미시 북쪽 22km 지역
2008-12-29 5:51,2.2,35.67 N,126.34 E,전북 부안군 서남서쪽 36km 해역
2008-12-19 21:53,2.2,37.36 N,129.83 E,경북 울진군 북동쪽 56km 해역
2008-12-19 17:53,3.5,36.49 N,129.68 E,경북 영덕군 동북동쪽 29km 해역
2008-12-18 23:38,2.3,36.47 N,129.66 E,경북 영덕군 동북동쪽 27km 해역
2008-12-11 19:31,2.7,40.38 N,126.87 E,자강도 용림(북한) 남남동쪽 14km 지역
2008-12-08 8:49,2.4,35.14 N,124.62 E,전남 신안군 흑산면 북서쪽 95km 해역
2008-12-07 18:02,2.3,37.79 N,125.02 E,황해남도 옹진 서남서쪽 34km 해역
2008-12-07 2:28,2.4,36.45 N,129.56 E,경북 영덕군 동북동쪽 18km 해역
2008-11-11 23:37,2.5,38.56 N,125.66 E,황해북도 사리원 북서쪽 11km 지역
2008-11-11 21:30,3,38.55 N,125.67 E,황해북도 사리원 서북서쪽 9km 지역
2008-11-11 21:20,3,38.54 N,125.65 E,황해북도 사리원 서북서쪽 10km 지역
2008-11-05 18:12,2.3,37.07 N,129.11 E,경북 봉화군 동북동쪽 38km 지역
2008-10-29 9:26,3.4,36.35 N,127.25 E,충남 공주시 남동쪽 15km 지역
2008-10-08 11:04,2.1,38.12 N,127.11 E,경기 연천군 북동쪽 4km 지역
2008-09-20 11:24,2.8,34.11 N,125.02 E,전남 신안군 흑산면 남서쪽 73km 해역
2008-09-13 12:05,2.5,35.6 N,126.99 E,전북 정읍시 동북동쪽 12km 지역
2008-09-11 10:46,2.4,38.08 N,127.12 E,경기 연천군 동남동쪽 4km 지역
2008-09-08 15:35,2.6,34.57 N,128.25 E,경남 통영시 남남서쪽 36km 해역
2008-09-04 0:44,3,35.13 N,125.04 E,전남 신안군 흑산면 북서쪽 66km 해역
2008-08-20 14:45,2.2,35.72 N,125.69 E,전남 영광군 서북서쪽 90km 해역
2008-07-27 21:48,2.2,34.45 N,128.08 E,경남 남해군 남남동쪽 46km 해역
2008-07-27 17:13,2.4,39.4 N,126.03 E,평안남도 평성 북동쪽 23km 지역
2008-07-23 19:29,3.2,34.49 N,128.04 E,경남 남해군 남남동쪽 41km 해역
2008-07-22 23:11,2.5,35.31 N,129.74 E,울산 동구 남동쪽 36km 해역
2008-07-04 20:48,2.5,39.3 N,127.19 E,함경남도 고원 남남서쪽 15km 지역
2008-07-04 19:39,2.1,39.26 N,127.22 E,함경남도 고원 남쪽 18km 지역
2008-07-01 16:32,2.3,35.54 N,128.82 E,경남 밀양시 북동쪽 8km 지역
2008-06-30 3:34,2.3,35.1 N,124.66 E,전남 신안군 흑산면 북서쪽 89km 해역
2008-06-21 23:30,2.2,35.57 N,128.6 E,경남 밀양시 북서쪽 17km 지역
2008-05-31 21:59,4.2,33.5 N,125.69 E,제주 제주시 서쪽 78km 해역
2008-05-26 11:01,2.6,35.85 N,130.01 E,경북 포항시 남구 동남동쪽 61km 해역
2008-03-27 16:29,2.8,37.78 N,126.4 E,인천 강화군 서북서쪽 9km 지역
2008-03-21 23:57,2.7,35.15 N,124.57 E,전남 신안군 흑산면 북서쪽 99km 해역
2008-03-15 1:38,2,38.11 N,127.1 E,경기 연천군 북동쪽 3km 지역
2008-03-09 18:07,2.2,38.75 N,125.84 E,황해북도 송림 동쪽 18km 지역
2008-03-08 18:05,2,35.66 N,128.8 E,경북 청도군 동북동쪽 6km 지역
2008-02-29 15:53,3.2,38.75 N,126.23 E,황해북도 신계 북서쪽 38km 지역
2008-02-29 5:37,2.4,33.57 N,126.54 E,제주 제주시 북쪽 8km 해역
2008-02-26 23:22,2.5,35.97 N,126.56 E,전북 군산시 서쪽 14km 해역
2008-02-26 9:10,2.6,37.95 N,124.85 E,인천 백령도 동쪽 15km 해역
2008-02-23 18:19,2.2,35.82 N,129.33 E,경북 경주시 동쪽 11km 지역
2008-02-05 10:06,2.3,38.41 N,125.9 E,황해북도 사리원 남동쪽 16km 지역
2008-01-16 19:58,3.9,35.65 N,125.37 E,충남 태안군 서격렬비열도 남쪽 107km 해역
2008-01-14 18:03,2.2,36.19 N,127.54 E,충남 금산군 북북동쪽 10km 지역
2008-01-10 22:51,2.2,35.09 N,125.06 E,전남 신안군 흑산면 북서쪽 62km 해역
2008-01-01 6:33,3.2,40.41 N,127.25 E,함경남도 장진 북북동쪽 3km 지역
2007-12-28 4:03,2.7,34.98 N,129.64 E,부산 해운대구 동남동쪽 48km 해역
2007-12-22 9:54,2.6,38.63 N,125.5 E,북한 황해남도 안악군 북쪽 14km 지역
2007-12-16 0:04,2.2,35.62 N,127.8 E,경남 함양군 북북동쪽 14km 지역
