id, tenure, age, marital, address, income, ed, employ, gender, reside, longmon, tollmon, wiremon, longten, tollten, wireten, ebill, churn
1, 13, 44, 1, 9, 64, 4, 5, 0, 2, 3.7, 0, 0, 37.45, 0, 0, 0, 1
2, 11, 33, 1, 7, 136, 5, 5, 0, 6, 4.4, 20.75, 35.7, 42, 211.45, 380.35, 0, 1
3, 68, 52, 1, 24, 116, 1, 29, 1, 2, 18.15, 18, 0, 1300.6, 1247.2, 0, 0, 0
4, 33, 33, 0, 12, 33, 2, 0, 1, 1, 9.45, 0, 0, 288.8, 0, 0, 0, 1
5, 23, 30, 1, 9, 30, 1, 2, 0, 4, 6.3, 0, 0, 157.05, 0, 0, 0, 0
6, 41, 39, 0, 17, 78, 2, 16, 1, 1, 11.8, 19.25, 0, 487.4, 798.4, 0, 0, 0
7, 45, 22, 1, 2, 19, 2, 4, 1, 5, 10.9, 0, 0, 504.5, 0, 0, 1, 1
8, 38, 35, 0, 5, 76, 2, 10, 0, 3, 6.05, 45, 64.9, 239.55, 1873.05, 2256.7, 1, 0
9, 45, 59, 1, 7, 166, 4, 31, 0, 5, 9.75, 28.5, 0, 449.05, 1240.15, 0, 0, 0
10, 68, 41, 1, 21, 72, 1, 22, 0, 3, 24.15, 0, 0, 1659.7, 0, 0, 0, 0
11, 5, 33, 0, 10, 125, 4, 5, 1, 1, 4.85, 0, 0, 17.25, 0, 0, 1, 1
12, 7, 35, 0, 14, 80, 2, 15, 1, 1, 7.1, 22, 0, 47.45, 166.1, 0, 0, 0
13, 41, 38, 1, 8, 37, 2, 9, 1, 3, 8.55, 0, 0, 308.7, 0, 0, 0, 0
14, 57, 54, 1, 30, 115, 4, 23, 1, 3, 15.6, 46.25, 61.05, 825.35, 2624.25, 3348.85, 1, 1
15, 9, 46, 0, 3, 25, 1, 8, 1, 2, 4.4, 0, 0, 36.8, 0, 0, 0, 0
16, 29, 38, 1, 12, 75, 5, 1, 0, 4, 5.1, 0, 0, 146.25, 0, 0, 0, 0
17, 60, 57, 0, 38, 162, 2, 30, 0, 1, 16.15, 29.75, 0, 946.9, 1767.6, 0, 0, 0
18, 34, 48, 0, 3, 49, 2, 6, 1, 3, 6.65, 18.5, 0, 230.8, 614.3, 0, 0, 0
19, 1, 24, 0, 3, 20, 1, 3, 0, 1, 1.05, 0, 0, 1.05, 0, 0, 0, 0
20, 26, 29, 1, 3, 77, 4, 2, 0, 4, 6.7, 0, 38.3, 140.95, 0, 910.1, 1, 1
21, 6, 30, 0, 7, 16, 3, 1, 1, 1, 3.75, 0, 18.7, 25.65, 0, 78.2, 0, 1
22, 68, 52, 1, 17, 120, 1, 24, 0, 2, 20.7, 0, 0, 1391.05, 0, 0, 0, 0
23, 53, 33, 0, 10, 101, 5, 4, 1, 2, 5.3, 0, 51.4, 253.35, 0, 2645.15, 1, 0
24, 55, 48, 1, 19, 67, 1, 25, 0, 3, 15.05, 0, 0, 810.45, 0, 0, 0, 0
25, 14, 43, 1, 18, 36, 1, 5, 0, 5, 12.5, 19.75, 0, 153.75, 273.75, 0, 0, 0
26, 1, 21, 0, 0, 33, 2, 0, 1, 3, 2.2, 20.75, 0, 2.2, 20.75, 0, 0, 0
27, 42, 40, 0, 7, 37, 2, 8, 1, 1, 8.25, 23.5, 37.4, 399.15, 950.65, 1562, 1, 0
28, 25, 33, 1, 11, 31, 1, 5, 0, 4, 9.1, 0, 0, 234.95, 0, 0, 0, 0
29, 9, 21, 1, 1, 17, 2, 2, 1, 3, 2.9, 0, 0, 25.25, 0, 0, 0, 0
30, 13, 33, 1, 9, 19, 4, 0, 1, 2, 5.55, 0, 0, 75.25, 0, 0, 1, 0
31, 56, 37, 1, 6, 36, 1, 13, 1, 2, 10.6, 0, 0, 582.6, 0, 0, 1, 0
32, 71, 53, 1, 27, 155, 5, 12, 0, 2, 21, 56, 49.95, 1519.2, 4064.3, 3646.9, 1, 0
33, 35, 50, 1, 26, 140, 2, 21, 1, 4, 6.5, 27.5, 0, 247.55, 1068.25, 0, 0, 0
34, 11, 27, 1, 8, 55, 5, 0, 0, 3, 4.8, 0, 0, 54.1, 0, 0, 0, 0
35, 60, 46, 1, 13, 163, 3, 24, 0, 2, 33.9, 38.25, 55.25, 1947.95, 2326.35, 3125.95, 1, 0
36, 20, 35, 1, 11, 52, 4, 0, 0, 2, 4.25, 0, 0, 82.7, 0, 0, 1, 1
37, 54, 60, 0, 38, 211, 4, 25, 0, 1, 21.15, 39.25, 54.85, 1228.7, 2102.25, 2895.85, 1, 0
38, 44, 57, 1, 1, 186, 2, 17, 0, 2, 9.8, 33.5, 41.65, 428.25, 1379.55, 1826.7, 0, 0
39, 11, 41, 1, 0, 39, 1, 1, 1, 2, 6.55, 29.25, 0, 67.8, 303.65, 0, 0, 1
40, 72, 57, 0, 34, 22, 2, 35, 1, 1, 41.75, 49, 0, 3043.05, 3581, 0, 0, 0
41, 10, 41, 0, 7, 30, 1, 7, 0, 1, 2.5, 19.25, 0, 31.25, 178.2, 0, 0, 0
42, 15, 28, 0, 0, 29, 2, 4, 1, 1, 4.25, 30, 0, 78, 426.05, 0, 0, 0
43, 27, 28, 1, 4, 23, 2, 8, 0, 5, 6.2, 0, 0, 180.15, 0, 0, 0, 0
44, 9, 36, 1, 14, 62, 4, 10, 0, 6, 5.65, 0, 48.5, 43.3, 0, 364.85, 1, 1
45, 64, 43, 1, 20, 76, 4, 20, 1, 4, 14.7, 18.75, 0, 897.05, 1279.25, 0, 0, 0
46, 65, 41, 1, 3, 74, 4, 16, 0, 2, 14.5, 0, 0, 963.3, 0, 0, 1, 0
47, 49, 51, 1, 27, 63, 4, 19, 0, 5, 12.85, 25.75, 0, 585.6, 1278.45, 0, 1, 0
48, 47, 41, 1, 0, 36, 4, 8, 0, 2, 7.75, 0, 38.8, 361, 0, 1730.4, 1, 1
49, 9, 34, 1, 9, 33, 2, 8, 1, 4, 2.95, 0, 0, 18.9, 0, 0, 0, 1
50, 5, 36, 0, 14, 29, 2, 9, 1, 1, 3.25, 31.5, 26.75, 16.8, 154.65, 98.6, 1, 1
51, 30, 34, 1, 4, 27, 2, 1, 0, 5, 6.3, 0, 0, 150.9, 0, 0, 0, 1
52, 56, 52, 1, 28, 49, 2, 12, 0, 4, 24.75, 0, 0, 1349.05, 0, 0, 0, 0
53, 10, 22, 0, 0, 24, 4, 0, 0, 1, 7.8, 23.75, 30.05, 63, 222.55, 306.3, 1, 0
54, 7, 26, 1, 3, 26, 2, 2, 0, 5, 4.85, 15.5, 0, 33.7, 136.55, 0, 0, 0
55, 52, 27, 0, 6, 47, 3, 5, 0, 2, 6.25, 18.5, 0, 330.4, 942.65, 0, 1, 0
56, 36, 45, 1, 1, 94, 2, 18, 1, 5, 7.2, 15.75, 0, 258.75, 553.8, 0, 0, 1
57, 27, 34, 0, 8, 21, 3, 4, 1, 1, 7.65, 0, 0, 213.45, 0, 0, 0, 0
58, 58, 62, 1, 36, 27, 1, 0, 0, 2, 15.5, 0, 0, 967.1, 0, 0, 0, 0
59, 41, 52, 0, 27, 30, 2, 2, 1, 1, 10.4, 28, 27.5, 447.85, 1152, 1036.65, 0, 0
60, 47, 40, 1, 16, 127, 4, 12, 1, 4, 19.7, 0, 0, 909.9, 0, 0, 1, 0
61, 55, 39, 1, 15, 137, 2, 20, 1, 2, 12.7, 27.5, 0, 676.9, 1505.2, 0, 0, 1
62, 56, 50, 1, 1, 80, 2, 24, 1, 4, 28.8, 55.5, 61.1, 1558.1, 3119.45, 3268.05, 0, 0
63, 35, 55, 0, 24, 30, 2, 2, 0, 1, 10.25, 0, 0, 395.85, 0, 0, 0, 0
64, 69, 51, 1, 11, 438, 4, 23, 1, 2, 29, 0, 0, 1815.4, 0, 0, 0, 0
65, 44, 39, 0, 16, 79, 2, 16, 0, 1, 15.25, 24.5, 30.05, 653.7, 1037.45, 1280, 1, 1
66, 36, 47, 1, 16, 63, 1, 23, 0, 2, 9.05, 0, 0, 373.65, 0, 0, 0, 0
67, 28, 51, 1, 22, 40, 3, 10, 1, 6, 8.95, 21.25, 0, 253.55, 586.95, 0, 0, 0
68, 72, 67, 1, 44, 51, 1, 34, 0, 2, 57.05, 51.5, 0, 4168.25, 3657.9, 0, 0, 0
69, 16, 27, 0, 5, 37, 3, 5, 0, 4, 6, 0, 0, 80.7, 0, 0, 0, 0
70, 3, 43, 0, 19, 61, 4, 11, 1, 1, 3.15, 0, 17.95, 7.9, 0, 38.2, 1, 1
71, 40, 57, 1, 15, 22, 2, 9, 0, 2, 8.55, 0, 0, 381.5, 0, 0, 0, 0
72, 16, 39, 0, 6, 44, 4, 3, 1, 1, 6.6, 0, 0, 96.3, 0, 0, 1, 0
73, 20, 42, 0, 4, 17, 3, 5, 0, 1, 7.8, 0, 0, 175.85, 0, 0, 0, 0
74, 48, 43, 0, 13, 110, 5, 15, 1, 3, 7.25, 0, 20.65, 359.35, 0, 1010.4, 1, 0
75, 64, 48, 1, 13, 91, 2, 24, 0, 2, 24.5, 24.75, 29.65, 1531.9, 1569.25, 1875.95, 0, 0
76, 8, 46, 0, 3, 46, 2, 8, 0, 1, 3.15, 0, 0, 16.65, 0, 0, 1, 0
77, 40, 38, 1, 10, 85, 3, 12, 0, 2, 10.6, 0, 0, 384.8, 0, 0, 0, 1
78, 38, 71, 0, 27, 10, 2, 12, 0, 1, 11.2, 0, 0, 429.85, 0, 0, 0, 0
79, 67, 68, 0, 28, 244, 1, 47, 1, 1, 30.25, 30.25, 0, 2186.2, 2036.15, 0, 0, 0
80, 26, 42, 0, 0, 80, 4, 15, 1, 1, 7.85, 44, 43.75, 196.65, 1123.25, 1176.55, 1, 0
81, 41, 34, 1, 15, 83, 5, 1, 1, 2, 8.9, 33.75, 0, 379.55, 1404.45, 0, 0, 0
82, 2, 31, 0, 2, 21, 1, 6, 0, 1, 1.65, 0, 0, 3.2, 0, 0, 0, 1
83, 20, 48, 1, 29, 24, 2, 3, 0, 2, 11.85, 22.5, 0, 230.7, 452.75, 0, 0, 1
84, 31, 53, 0, 2, 351, 3, 31, 1, 1, 5.5, 31.5, 0, 185.3, 1009.9, 0, 0, 0
85, 45, 52, 1, 4, 169, 4, 29, 1, 4, 14.65, 0, 0, 618.15, 0, 0, 0, 0
86, 33, 27, 1, 7, 46, 2, 7, 0, 4, 7.25, 0, 0, 243.35, 0, 0, 1, 0
87, 10, 26, 0, 6, 34, 3, 3, 0, 1, 4.85, 0, 0, 41.85, 0, 0, 0, 0
88, 62, 54, 1, 2, 50, 4, 3, 0, 2, 17.25, 0, 33.25, 1067.8, 0, 2022.55, 1, 1
89, 4, 35, 0, 16, 161, 5, 6, 1, 1, 3.4, 23.75, 35.75, 10.35, 103.1, 135.25, 1, 1
90, 42, 47, 1, 17, 212, 4, 17, 0, 2, 7.45, 26.75, 0, 320.9, 1163.55, 0, 0, 0
91, 27, 51, 1, 3, 80, 5, 11, 0, 3, 7.1, 0, 0, 176.2, 0, 0, 1, 0
92, 38, 42, 0, 1, 30, 4, 7, 1, 1, 13.2, 27.5, 0, 495.85, 1087.9, 0, 0, 0
93, 52, 61, 1, 3, 53, 5, 1, 1, 2, 12.25, 0, 35.95, 631.7, 0, 1971.35, 1, 0
94, 35, 33, 0, 9, 73, 5, 4, 1, 1, 5.85, 38.25, 40.35, 216.6, 1337.6, 1423.8, 1, 0
95, 3, 20, 1, 1, 17, 2, 0, 1, 4, 3.75, 0, 0, 12.3, 0, 0, 1, 1
96, 17, 33, 0, 9, 23, 5, 3, 0, 1, 10.2, 0, 30.9, 196.3, 0, 529.25, 1, 1
97, 55, 53, 1, 21, 34, 1, 8, 0, 2, 5.7, 0, 0, 304.4, 0, 0, 0, 0
98, 43, 36, 1, 5, 107, 1, 19, 1, 3, 11.55, 12.75, 0, 491.55, 583.75, 0, 0, 1
99, 47, 25, 1, 5, 21, 1, 1, 1, 2, 8.65, 30.5, 0, 426.6, 1465.45, 0, 0, 1
100, 65, 58, 0, 30, 83, 2, 16, 1, 1, 19.3, 0, 0, 1323.2, 0, 0, 0, 0
101, 13, 20, 0, 1, 17, 3, 0, 0, 5, 3.05, 0, 0, 40.3, 0, 0, 1, 0
102, 64, 25, 1, 4, 76, 3, 2, 1, 6, 24.05, 0, 0, 1536.55, 0, 0, 1, 0
103, 12, 24, 0, 2, 19, 1, 0, 0, 1, 4, 24.75, 0, 46, 299, 0, 0, 1
104, 29, 32, 1, 0, 49, 4, 3, 1, 3, 6.7, 0, 0, 187, 0, 0, 1, 1
105, 23, 47, 0, 21, 173, 3, 22, 1, 1, 7.6, 0, 0, 145.9, 0, 0, 1, 0
106, 14, 35, 0, 4, 47, 3, 10, 1, 1, 5, 21.75, 24.15, 76.2, 318.2, 274, 1, 1
107, 35, 61, 0, 23, 41, 2, 11, 0, 1, 9.6, 0, 0, 353.55, 0, 0, 0, 0
108, 26, 39, 0, 8, 105, 3, 13, 1, 1, 6.6, 39.75, 38.25, 159.7, 1022.45, 885.1, 1, 0
109, 13, 54, 0, 2, 31, 4, 2, 0, 1, 5.85, 0, 0, 97, 0, 0, 1, 0
110, 69, 40, 1, 13, 41, 2, 17, 0, 3, 25.25, 0, 0, 1725.1, 0, 0, 0, 0
111, 61, 50, 1, 30, 102, 4, 9, 1, 3, 12.6, 0, 0, 760.3, 0, 0, 1, 0
112, 45, 22, 1, 2, 36, 4, 0, 1, 5, 9.95, 14.75, 0, 412.1, 663.1, 0, 0, 1
113, 3, 37, 0, 13, 24, 1, 3, 1, 1, 2, 0, 0, 3.05, 0, 0, 1, 0
114, 53, 22, 0, 1, 25, 4, 0, 0, 2, 12.05, 0, 0, 666, 0, 0, 1, 0
115, 59, 42, 0, 1, 68, 2, 21, 1, 1, 17.3, 21.25, 0, 997.85, 1183.55, 0, 0, 0
116, 13, 34, 0, 11, 20, 3, 0, 1, 1, 4.8, 0, 0, 71.05, 0, 0, 0, 0
117, 31, 31, 0, 4, 48, 1, 15, 0, 1, 3.8, 0, 0, 127.7, 0, 0, 0, 0
118, 40, 29, 1, 6, 40, 2, 8, 1, 5, 13, 0, 0, 502.95, 0, 0, 0, 0
119, 48, 55, 0, 15, 79, 1, 25, 0, 1, 13.8, 0, 0, 668.65, 0, 0, 0, 0
120, 3, 31, 0, 1, 28, 1, 0, 0, 1, 3.45, 15.5, 0, 13.3, 48.75, 0, 0, 1
121, 51, 48, 0, 12, 64, 2, 22, 1, 1, 14.8, 0, 0, 708.45, 0, 0, 0, 0
122, 33, 41, 0, 15, 37, 2, 11, 0, 1, 12.2, 0, 0, 415.05, 0, 0, 0, 0
123, 14, 47, 1, 7, 48, 1, 13, 0, 2, 4.25, 11, 0, 55.5, 126.45, 0, 0, 0
124, 17, 42, 1, 6, 131, 5, 6, 0, 3, 5.8, 0, 21.65, 103.1, 0, 331.4, 1, 1
125, 19, 29, 1, 9, 18, 2, 2, 0, 3, 5.4, 0, 0, 108.5, 0, 0, 1, 1
126, 58, 36, 0, 10, 38, 2, 14, 1, 1, 10.15, 0, 0, 538.65, 0, 0, 0, 0
127, 22, 23, 0, 3, 37, 2, 4, 1, 3, 5.35, 0, 24.7, 144.05, 0, 503.5, 1, 0
128, 29, 31, 1, 1, 60, 4, 6, 0, 5, 9.6, 0, 0, 243.9, 0, 0, 1, 1
129, 14, 22, 1, 2, 13, 3, 0, 1, 4, 9.45, 0, 0, 117.55, 0, 0, 0, 1
130, 70, 64, 1, 18, 98, 1, 31, 1, 2, 26.15, 84, 45.45, 1805.1, 5850.25, 3243.25, 0, 0
131, 62, 52, 1, 2, 195, 1, 23, 0, 2, 23.15, 36.75, 34.3, 1420.95, 2308.25, 2082.8, 0, 1
132, 7, 35, 1, 0, 47, 1, 14, 0, 5, 5.2, 0, 0, 46.9, 0, 0, 0, 1
133, 56, 47, 1, 19, 65, 2, 22, 0, 3, 12.4, 48.75, 58.4, 744.45, 2695.95, 3084.2, 0, 0
134, 50, 50, 1, 22, 150, 5, 5, 1, 4, 19.3, 0, 0, 930.8, 0, 0, 1, 1
135, 57, 39, 0, 6, 106, 5, 8, 0, 1, 9.05, 24.25, 39.6, 568.15, 1486.35, 2183.95, 0, 0
136, 2, 40, 0, 19, 51, 4, 14, 1, 1, 4.25, 0, 0, 6.8, 0, 0, 1, 0
137, 40, 38, 0, 17, 96, 4, 0, 1, 1, 9.3, 0, 0, 316.05, 0, 0, 0, 0
138, 6, 43, 0, 4, 33, 5, 7, 0, 2, 4.25, 0, 26.75, 30, 0, 146.55, 0, 0
139, 23, 25, 1, 6, 38, 2, 1, 1, 3, 13.9, 23.25, 0, 255, 574.85, 0, 0, 0
140, 11, 32, 0, 6, 125, 4, 5, 0, 1, 3.8, 19.25, 58.25, 31.75, 233.4, 577.7, 1, 1
141, 29, 37, 1, 13, 145, 5, 0, 1, 4, 8.6, 24, 28, 241.45, 713.45, 722.8, 0, 0
142, 42, 44, 1, 2, 99, 2, 21, 0, 3, 22.05, 34.75, 0, 841.55, 1501.55, 0, 0, 0
143, 20, 34, 1, 2, 22, 4, 0, 1, 3, 4.85, 18.25, 31.65, 75.45, 338.55, 570.65, 1, 0
144, 72, 60, 1, 21, 31, 1, 38, 0, 2, 32.25, 0, 0, 2349.25, 0, 0, 0, 0
145, 2, 36, 0, 3, 25, 1, 6, 1, 1, 1.9, 15.75, 24.15, 3.6, 23.05, 20.95, 0, 0
146, 46, 25, 0, 5, 57, 5, 0, 1, 2, 20.25, 21.25, 28.35, 923.95, 968.95, 1246.45, 1, 0
147, 39, 51, 1, 21, 41, 5, 20, 0, 6, 12.1, 20.5, 35.35, 492.8, 910.25, 1301.1, 1, 0
148, 24, 25, 1, 1, 20, 3, 1, 1, 2, 8.15, 0, 0, 209.35, 0, 0, 0, 1
149, 59, 43, 1, 4, 101, 2, 22, 1, 5, 13.65, 0, 0, 817.65, 0, 0, 0, 0
150, 65, 37, 0, 8, 56, 2, 15, 0, 1, 10.25, 0, 0, 681.95, 0, 0, 0, 0
151, 50, 27, 1, 5, 22, 2, 5, 1, 3, 17.2, 0, 0, 893.3, 0, 0, 0, 0
152, 57, 37, 0, 11, 108, 4, 9, 1, 1, 21.8, 27.25, 0, 1292, 1492.1, 0, 0, 0
153, 61, 48, 0, 14, 115, 4, 20, 1, 1, 12.8, 16, 31, 785.7, 953.95, 1799.15, 1, 0
154, 34, 54, 0, 31, 53, 4, 22, 0, 1, 8.1, 18, 66.9, 225.4, 588.4, 2304.8, 1, 0
155, 38, 53, 0, 13, 242, 4, 12, 0, 1, 8.95, 37.75, 50.75, 396.35, 1556.4, 1934.9, 1, 0
156, 3, 24, 1, 2, 20, 2, 3, 1, 5, 3.35, 22.5, 0, 7.55, 49.55, 0, 0, 0
157, 4, 47, 0, 5, 123, 4, 11, 0, 1, 2.5, 0, 0, 9.25, 0, 0, 1, 0
158, 15, 35, 0, 0, 34, 1, 12, 0, 1, 3.95, 0, 0, 47.95, 0, 0, 0, 0
159, 25, 29, 1, 8, 31, 4, 3, 1, 5, 12.95, 0, 0, 348.9, 0, 0, 1, 1
160, 21, 44, 0, 25, 47, 1, 12, 1, 2, 7.05, 0, 0, 182.3, 0, 0, 0, 0
161, 50, 37, 1, 11, 48, 3, 8, 1, 2, 12.9, 27.75, 0, 669.75, 1445.15, 0, 0, 0
162, 65, 64, 1, 22, 13, 2, 5, 1, 3, 14.6, 33, 0, 921.7, 1990.2, 0, 0, 0
163, 59, 52, 1, 18, 78, 1, 25, 0, 2, 18.6, 0, 0, 1179.05, 0, 0, 0, 0
164, 29, 26, 0, 7, 34, 1, 7, 1, 2, 6.5, 0, 0, 198.7, 0, 0, 0, 0
165, 60, 46, 0, 17, 81, 5, 9, 1, 1, 17.45, 0, 0, 1067, 0, 0, 1, 0
166, 71, 45, 1, 14, 86, 2, 25, 0, 2, 45.05, 0, 0, 3235.9, 0, 0, 0, 0
167, 38, 27, 1, 0, 26, 4, 2, 0, 4, 12.2, 0, 28.05, 477.5, 0, 1111, 1, 1
168, 16, 34, 1, 5, 51, 2, 8, 1, 5, 4.7, 0, 0, 61.5, 0, 0, 0, 0
169, 7, 31, 0, 10, 59, 3, 10, 0, 1, 2.45, 0, 0, 16.35, 0, 0, 1, 0
170, 59, 53, 0, 21, 112, 4, 16, 0, 1, 21.1, 0, 25.3, 1236.3, 0, 1465.35, 1, 1
171, 22, 56, 1, 14, 57, 4, 28, 0, 2, 6.2, 18.25, 28.8, 135.2, 417.55, 649.6, 0, 0
172, 18, 48, 1, 20, 41, 1, 2, 1, 2, 4.35, 13, 0, 59.15, 220.95, 0, 0, 0
173, 64, 46, 1, 19, 168, 2, 26, 1, 2, 14.2, 71, 62.45, 928.8, 4667.75, 3704.05, 1, 0
174, 7, 33, 0, 4, 29, 4, 4, 1, 3, 4.65, 0, 0, 35.45, 0, 0, 1, 1
175, 65, 58, 0, 13, 167, 2, 14, 1, 2, 24.3, 0, 0, 1642.35, 0, 0, 0, 0
176, 7, 24, 0, 5, 29, 2, 3, 0, 3, 4.45, 13.5, 0, 43.7, 109.5, 0, 0, 1
177, 64, 55, 0, 28, 104, 1, 26, 1, 1, 15, 0, 0, 960.95, 0, 0, 0, 0
178, 42, 22, 1, 0, 46, 4, 0, 0, 2, 9.35, 20.25, 36, 311.85, 850.65, 1503.65, 0, 1
179, 33, 26, 0, 5, 46, 4, 1, 1, 3, 11, 17.5, 32.05, 350.05, 593.1, 1009.5, 1, 0
180, 3, 33, 0, 8, 51, 4, 0, 1, 1, 2.9, 0, 0, 12.05, 0, 0, 0, 1
181, 69, 42, 1, 11, 65, 2, 18, 0, 2, 14.2, 30.5, 66.55, 1007.5, 2082.75, 4399.6, 1, 0
182, 9, 33, 0, 1, 48, 2, 13, 0, 2, 3.15, 13.25, 0, 39.75, 110.05, 0, 0, 0
183, 22, 34, 1, 1, 46, 3, 1, 0, 4, 7.1, 0, 0, 125.05, 0, 0, 0, 0
184, 53, 63, 1, 15, 43, 2, 18, 0, 2, 14.85, 0, 0, 808.95, 0, 0, 1, 0
185, 71, 53, 0, 30, 110, 1, 34, 0, 1, 17.45, 0, 0, 1249.8, 0, 0, 0, 0
186, 24, 26, 0, 2, 32, 3, 2, 0, 3, 4.25, 0, 0, 97.35, 0, 0, 1, 0
187, 12, 22, 1, 1, 18, 3, 0, 1, 2, 4.65, 0, 0, 57.7, 0, 0, 1, 0
188, 25, 39, 1, 1, 26, 4, 0, 0, 4, 14.45, 0, 24.75, 349.9, 0, 640.8, 1, 1
189, 63, 28, 1, 9, 34, 2, 10, 1, 6, 15, 40, 45.1, 934.05, 2465.4, 2770.35, 0, 0
190, 33, 54, 1, 18, 57, 4, 4, 1, 3, 7.5, 30.25, 0, 226.25, 1105.75, 0, 0, 1
191, 57, 54, 1, 20, 21, 2, 0, 1, 3, 10.6, 0, 0, 565.55, 0, 0, 0, 0
192, 13, 33, 0, 7, 38, 3, 10, 1, 1, 5.05, 18.5, 28.85, 48.6, 199.5, 318.9, 1, 0
193, 13, 21, 0, 2, 19, 3, 0, 1, 1, 7.9, 0, 0, 98.35, 0, 0, 0, 1
194, 71, 39, 0, 2, 40, 3, 17, 0, 1, 36.25, 27.75, 0, 2553.7, 1916.25, 0, 0, 0
195, 18, 69, 1, 11, 58, 3, 8, 0, 2, 6.35, 27.25, 63, 118.05, 454.05, 1049.95, 1, 0
196, 17, 51, 1, 10, 95, 2, 15, 1, 2, 7.45, 0, 0, 132.9, 0, 0, 0, 1
197, 22, 43, 0, 4, 114, 2, 19, 0, 1, 9.25, 0, 0, 202.8, 0, 0, 0, 0
198, 65, 65, 1, 27, 128, 3, 24, 0, 2, 21.2, 24, 0, 1325.05, 1483.55, 0, 0, 0
199, 7, 40, 0, 9, 33, 4, 2, 1, 1, 2.8, 0, 0, 16.85, 0, 0, 1, 0
200, 72, 66, 0, 30, 460, 4, 41, 1, 1, 89.4, 0, 0, 6353.9, 0, 0, 0, 0
